vehicle_class,entrance_site,exit_site,percentage
4H,17,16H,0.041818259
4H,17,20,0.023229546
4H,17,B2,0.00017345
4H,18,24,0.148547488
4H,18,15,0.253689042
4H,18,21,0.033363113
4H,18,18,0
4H,18,17,0.233418564
4H,18,23,0.043775608
4H,18,19,0.116108561
4H,18,B1,0.010227658
4H,18,22,0.011583131
4H,18,B3,0.030744586
4H,18,21B,0.030128462
4H,18,16H,0.046209297
4H,18,20,0.042204492
4H,18,B2,0
4H,19,24,0.148087491
4H,19,15,0.148214871
4H,19,21,0.038541325
4H,19,18,0.096353314
4H,19,17,0.369509044
4H,19,23,0.041452851
4H,19,19,0
4H,19,B1,0.013465808
4H,19,22,0.008261455
4H,19,B3,0.028951487
4H,19,21B,0.030425447
4H,19,16H,0.014448448
4H,19,20,0.061869928
4H,19,B2,0.000418532
4H,20,24,0.118561608
4H,20,15,0.151066455
4H,20,21,0.068147365
4H,20,18,0.075374581
4H,20,17,0.203983783
4H,20,23,0.09539926
4H,20,19,0.126916975
4H,20,B1,0.008637405
4H,20,22,0.012691698
4H,20,B3,0.058029261
4H,20,21B,0.063458488
4H,20,16H,0.017733122
4H,20,20,0
4H,20,B2,0
4H,21,24,0.168009056
4H,21,15,0.168357351
4H,21,21,0
4H,21,18,0.042622665
4H,21,17,0.141669206
4H,21,23,0.114676303
4H,21,19,0.113108973
4H,21,B1,0.021463712
4H,21,22,0.0253385
4H,21,B3,0.047237581
4H,21,21B,0.038704341
4H,21,16H,0.00626932
4H,21,20,0.112542993
4H,21,B2,0
4H,21B,24,0.185429246
4H,21B,15,0.179238054
4H,21B,21,0.033928955
4H,21B,18,0.017194348
4H,21B,17,0.131179698
4H,21B,23,0.168326846
4H,21B,19,0.039783002
4H,21B,B1,0.085420051
4H,21B,22,0.052625126
4H,21B,B3,0.067275569
4H,21B,21B,0
4H,21B,16H,0.002114813
4H,21B,20,0.036840653
4H,21B,B2,0.000643639
4H,22,24,0.150257745
4H,22,15,0.030521104
4H,22,21,0.032817843
4H,22,18,0.008931761
4H,22,17,0.056550809
4H,22,23,0.0763538
4H,22,19,0.02133415
4H,22,B1,0.251161129
4H,22,22,0
4H,22,B3,0.240443015
4H,22,21B,0.103353238
4H,22,16H,0.00112285
4H,22,20,0.012606543
4H,22,B2,0.014546011
4H,23,24,0.193404526
4H,23,15,0.349093253
4H,23,21,0.039161716
4H,23,18,0.017176803
4H,23,17,0.170165322
4H,23,23,0
4H,23,19,0.033656778
4H,23,B1,0.003048621
4H,23,22,0.040346323
4H,23,B3,0.035712419
4H,23,21B,0.08053586
4H,23,16H,0.006706967
4H,23,20,0.030608156
4H,23,B2,0.000383255
4H,24,24,0
4H,24,15,0.285423754
4H,24,21,0.034555088
4H,24,18,0.049493393
4H,24,17,0.287758434
4H,24,23,0.10222433
4H,24,19,0.086930352
4H,24,B1,0.003310503
4H,24,22,0.025936836
4H,24,B3,0.03212921
4H,24,21B,0.057327339
4H,24,16H,0.009457278
4H,24,20,0.025325806
4H,24,B2,0.000127678
4H,B1,24,0.002539188
4H,B1,15,0.024788506
4H,B1,21,0.003959624
4H,B1,18,0.003255691
4H,B1,17,0.030482823
4H,B1,23,0.006083994
